We,tc
0.0120972991689751,6.96506309066283
0.0331417090194038,6.03963512756776
0.064571671783031,5.6012745134701
0.106387187459857,5.3577408389714
0.158588256049881,5.16291389937244
0.221174877553104,5.01679369467322
0.294147051969526,4.91938022487374
0.377504779299146,4.82196675507426
0.471248059541965,4.77326002017452
0.575376892697982,4.72455328527478
0.689891278767198,4.72455328527478
0.814791217749612,4.67584655037504
0.950076709645225,4.67584655037504
1.09574775445404,4.67584655037504
1.25180435217605,4.67584655037504
1.41824650281126,4.6271398154753
1.59507420635966,4.6271398154753
1.78228746282127,4.57843308057556
1.97988627219607,4.52972634567582
2.18787063448408,4.52972634567582
2.40624054968528,4.48101961077608
2.63499601779968,4.43231287587634
2.87413703882728,4.43231287587634
3.12366361276807,4.43231287587634
3.38357573962207,4.3836061409766
3.65387341938927,4.3836061409766
3.93455665206966,4.33489940607686
4.22562543766325,4.33489940607686
4.52707977617004,4.33489940607686
4.83891966759003,4.28619267117712
