We,Y
0.0120972991689751,0.135365382272777
0.0331417090194038,0.192612030300985
0.064571671783031,0.247885183296349
0.106387187459857,0.300780081672896
0.158588256049881,0.351466710282788
0.221174877553104,0.40008786994309
0.294147051969526,0.447026688465191
0.377504779299146,0.492543438993338
0.471248059541965,0.53679618602779
0.575376892697982,0.579895820600605
0.689891278767198,0.621918831327696
0.814791217749612,0.662901395424488
0.950076709645225,0.703256629079911
1.09574775445404,0.742687494068055
1.25180435217605,0.780963826813717
1.41824650281126,0.822484833532197
1.59507420635966,0.87392745613479
1.78228746282127,0.92739831208315
1.97988627219607,0.979065428624173
2.18787063448408,1.02949571845729
2.40624054968528,1.07769449450586
2.63499601779968,1.12676916620819
2.87413703882728,1.17429551393275
3.12366361276807,1.22025203424306
3.38357573962207,1.26801912947979
3.65387341938927,1.31532748304302
3.93455665206966,1.36230262750221
4.22562543766325,1.40912885498661
4.52707977617004,1.45710508175111
4.83891966759003,1.50538904418673
